code,name,sector33,close,pct_from_high,ret_1m,turnover_value,脱落条件
28060,ユタカフーズ,食料品,1874.0,-0.17444933920704842,0.008611410118406937,2430700.0,押し目ゾーン(-15〜-5%)
28420,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース,その他,12025.0,-0.23236514522821572,-0.01635991820040905,97625695.0,押し目ゾーン(-15〜-5%)
28700,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００ダブルインバース,その他,7412.0,-0.4354912414318355,-0.04237726098191219,112222671.0,押し目ゾーン(-15〜-5%)
28750,東洋水産,食料品,10175.0,-0.17644678267907732,-0.06694176983035305,6195881200.0,押し目ゾーン(-15〜-5%)
29290,ファーマフーズ,食料品,549.0,-0.47312859884836855,-0.08499999999999996,53666900.0,押し目ゾーン(-15〜-5%)
29300,北の達人コーポレーション,化学,117.0,-0.23026315789473684,-0.0714285714285714,14779800.0,押し目ゾーン(-15〜-5%)
29310,ユーグレナ,食料品,332.0,-0.34901960784313724,-0.05142857142857138,331819500.0,押し目ゾーン(-15〜-5%)
29360,ベースフード,食料品,258.0,-0.5104364326375712,-0.08833922261484095,3894600.0,押し目ゾーン(-15〜-5%)
29380,オカムラ食品工業,食料品,1265.0,-0.21574705517668935,-0.004720692368214041,55927500.0,押し目ゾーン(-15〜-5%)
29700,ＧＬＣ　ＧＲＯＵＰ,不動産業,974.0,-0.7689205219454329,0.025263157894736876,17186000.0,押し目ゾーン(-15〜-5%)
29720,サンケイリアルエステート投資法人,その他,110200.0,-0.1732933233308327,-0.045887445887445866,286017800.0,押し目ゾーン(-15〜-5%)
29780,ツクルバ,不動産業,349.0,-0.432520325203252,0.014534883720930258,1645500.0,押し目ゾーン(-15〜-5%)
29790,ＳＯＳｉＬＡ物流リート投資法人,その他,105900.0,-0.2207505518763797,-0.06860158311345643,224888700.0,押し目ゾーン(-15〜-5%)
29910,ランドネット,不動産業,557.0,-0.6529595015576324,-0.06543624161073824,8176600.0,押し目ゾーン(-15〜-5%)
30040,神栄,卸売業,2035.0,-0.26134301270417426,-0.08744394618834084,25042500.0,押し目ゾーン(-15〜-5%)
30210,パシフィックネット,サービス業,1620.0,-0.3499197431781701,-0.10299003322259137,16697400.0,押し目ゾーン(-15〜-5%)
30300,ハブ,小売業,825.0,-0.23611111111111116,0.0036496350364962904,10462600.0,押し目ゾーン(-15〜-5%)
30590,ヒラキ,小売業,709.0,-0.1648998822143698,0.0028288543140029265,2555700.0,押し目ゾーン(-15〜-5%)
30890,テクノアルファ,卸売業,1049.0,-0.2710215427380125,0.01745877788554795,4473000.0,押し目ゾーン(-15〜-5%)
31160,トヨタ紡織,輸送用機器,2171.0,-0.3375038144644492,-0.029069767441860517,1877957150.0,押し目ゾーン(-15〜-5%)
314A0,ブラックロック・ジャパン株式会社　ｉシェアーズ　ゴールド　ＥＴＦ,その他,311.0,-0.23266716012830002,-0.018308080808080884,578200830.0,押し目ゾーン(-15〜-5%)
31570,ジオリーブグループ,卸売業,1352.0,-0.20657276995305163,-0.07333790267306373,53145600.0,押し目ゾーン(-15〜-5%)
31740,ハピネス・アンド・ディ,小売業,407.0,-0.4386206896551724,-0.01927710843373498,7235400.0,押し目ゾーン(-15〜-5%)
31860,ネクステージ,小売業,3530.0,-0.166469893742621,-0.07227332457293034,1297586500.0,押し目ゾーン(-15〜-5%)
318A0,ＶＩＸ短期先物指数ＥＴＦ,その他,418.9,-0.5187823090178059,-0.04556846662109815,269750003.0,押し目ゾーン(-15〜-5%)
