buy_date,code,sector,buy_price,shares,buy_amount,buy_fee,sell_date,reason,sell_price,sell_amount,sell_fee,net_pnl
2025-06-03,41790,情報･通信業,331.0,21500,7116500.0,1430,2025-06-13,SL(-5%),314.4,6759599.999999999,1430,-359760.00000000093
2025-06-09,48830,医薬品,106.0,60600,6423600.0,1430,2025-06-10,TP(+10%),116.6,7065960.0,1430,639500.0
2025-06-10,288A0,サービス業,222.0,30400,6748800.0,1430,2025-06-11,TP(+10%),244.2,7423680.0,1430,672020.0
2025-06-10,93480,サービス業,655.0,500,327500.0,220,2025-06-11,SL(-5%),622.2,311100.0,220,-16840.0
2025-06-11,37440,情報･通信業,418.0,16900,7064200.0,1430,2025-06-12,SL(-5%),397.1,6710990.0,1430,-356070.0
2025-06-11,52550,情報･通信業,110.0,6200,682000.0,330,2025-06-12,TP(+10%),121.0,750200.0,330,67540.0
2025-06-12,38410,情報･通信業,1526.0,4500,6867000.0,1430,2025-06-13,TP(+10%),1678.6,7553700.0,1430,683840.0
2025-06-12,52550,情報･通信業,122.0,4800,585600.0,330,2025-06-13,TP(+10%),134.2,644160.0,330,57900.0
2025-06-13,38410,情報･通信業,1571.0,4600,7226600.0,1430,2025-06-16,SL(-5%),1492.4,6865040.0,1430,-364420.0
2025-06-16,49360,化学,490.0,14200,6958000.0,1430,2025-06-17,SL(-5%),465.5,6610100.0,1430,-350760.0
2025-06-17,55770,その他,932.0,7100,6617200.0,1430,2025-06-18,SL(-5%),885.4,6286340.0,1430,-333720.0
2025-06-18,157A0,サービス業,557.0,11200,6238400.0,1430,2025-06-19,SL(-5%),529.1,5925920.0,1430,-315340.0
2025-06-19,45740,医薬品,287.0,20800,5969600.0,1430,2025-06-20,TP(+10%),315.7,6566560.0,1430,594100.0
2025-06-20,45940,医薬品,48.0,136800,6566400.0,1430,2025-06-23,TP(+10%),52.8,7223040.0,1430,653780.0
2025-06-13,70730,サービス業,2161.0,400,864400.0,330,2025-06-30,TP(+10%),2377.1,950840.0,330,85780.0
2025-06-23,95610,サービス業,873.0,8200,7158600.0,1430,2025-06-25,SL(-5%),829.3,6800260.0,1430,-361200.0
2025-06-24,24590,サービス業,254.0,27900,7086600.0,1430,2025-06-25,SL(-5%),241.3,6732270.0,1430,-357190.0
2025-06-24,52160,ガラス･土石製品,230.0,3100,713000.0,330,2025-06-25,SL(-5%),218.5,677350.0,330,-36310.0
2025-06-06,36340,情報･通信業,567.0,10700,6066900.0,1430,2025-07-02,TP(+10%),623.7,6673590.000000001,1430,603830.0000000009
2025-06-25,77330,精密機器,1691.5,300,507450.0,330,2025-06-27,SL(-5%),1606.9,482070.0,220,-25930.0
2025-06-26,43160,情報･通信業,377.0,19000,7163000.0,1430,2025-07-04,TP(+10%),414.7,7879300.0,1430,713440.0
2025-06-30,72730,輸送用機器,795.0,9500,7552500.0,1430,2025-07-01,SL(-5%),755.2,7174400.0,1430,-380960.0
2025-06-30,80110,繊維製品,868.6666666666666,300,260600.0,220,2025-07-23,TP(+10%),955.5,286650.0,220,25610.0
2025-06-25,39610,その他,638.0,10800,6890400.0,1430,2025-08-21,TP(+10%),701.8,7579439.999999999,1430,686179.9999999991
2025-06-09,29910,不動産業,572.5,600,343500.0,220,2025-08-22,TP(+10%),629.8,377880.0,220,33940.0
2025-08-15,93450,サービス業,1234.5,6200,7653900.0,1430,2025-08-18,SL(-5%),1172.8,7271360.0,1430,-385400.0
2025-08-15,37960,情報･通信業,332.5,600,199500.0,154,2025-08-18,SL(-5%),315.9,189540.0,154,-10268.0
2025-08-18,37960,情報･通信業,282.5,26700,7542750.0,1430,2025-08-19,SL(-5%),268.4,7166279.999999999,1430,-379330.00000000093
2025-08-19,33170,小売業,1507.5,4800,7236000.0,1430,2025-08-20,SL(-5%),1432.1,6874080.0,1430,-364780.0
2025-07-01,70690,サービス業,361.5,20000,7230000.0,1430,2025-08-27,TP(+10%),397.7,7954000.0,1430,721140.0
2025-08-20,23750,サービス業,283.0,24200,6848600.0,1430,2025-08-22,SL(-5%),268.8,6504960.0,1430,-346500.0
2025-08-21,44290,情報･通信業,1037.0,6900,7155300.0,1430,2025-08-27,TP(+10%),1140.7,7870830.0,1430,712670.0
2025-08-22,38070,情報･通信業,160.0,48200,7712000.0,1430,2025-08-25,TP(+10%),176.0,8483200.0,1430,768340.0
2025-08-25,36240,情報･通信業,135.0,60000,8100000.0,1430,2025-08-26,TP(+10%),148.5,8910000.0,1430,807140.0
2025-08-25,40730,情報･通信業,710.0,700,497000.0,220,2025-08-27,SL(-5%),674.5,472150.0,220,-25290.0
2025-08-26,40730,情報･通信業,735.0,11500,8452500.0,1430,2025-08-27,SL(-5%),698.2,8029300.000000001,1430,-426059.99999999907
2025-08-26,36240,情報･通信業,135.0,7200,972000.0,330,2025-08-28,SL(-5%),128.2,923039.9999999999,330,-49620.00000000012
2025-08-27,36810,その他,180.0,45800,8244000.0,1430,2025-08-28,SL(-5%),171.0,7831800.0,1430,-415060.0
2025-08-27,70690,サービス業,463.5,1500,695250.0,330,2025-08-28,TP(+10%),509.9,764850.0,330,68940.0
2025-08-28,21560,サービス業,426.0,18900,8051400.0,1430,2025-08-29,TP(+10%),468.6,8856540.0,1430,802280.0
2025-08-28,70690,サービス業,451.0,1200,541200.0,330,2025-08-29,SL(-5%),428.4,514080.0,330,-27780.0
2025-08-29,21560,サービス業,419.0,20200,8463800.0,1430,2025-09-02,SL(-5%),398.0,8039600.0,1430,-427060.0
2025-08-29,37790,情報･通信業,250.0,3600,900000.0,330,2025-09-02,SL(-5%),237.5,855000.0,330,-45660.0
2025-09-02,30700,卸売業,184.0,44700,8224800.0,1430,2025-09-04,SL(-5%),174.8,7813560.000000001,1430,-414099.99999999907
2025-09-02,168A0,その他製品,1385.0,400,554000.0,330,2025-09-04,SL(-5%),1315.8,526320.0,330,-28340.0
2025-09-04,73760,サービス業,744.3333333333333,10700,7964366.666666666,1430,2025-09-05,TP(+10%),818.8,8761160.0,1430,793933.333333334
2025-09-04,70640,サービス業,1302.0,300,390600.0,220,2025-09-09,TP(+10%),1432.2,429660.0,220,38620.0
2025-09-05,72560,輸送用機器,113.0,74500,8418500.0,1430,2025-09-09,SL(-5%),107.3,7993850.0,1430,-427510.0
2025-09-05,73760,サービス業,720.0,1200,864000.0,330,2025-09-08,SL(-5%),684.0,820800.0,330,-43860.0
2025-09-08,62280,機械,990.0,8200,8118000.0,1430,2025-09-09,TP(+10%),1089.0,8929800.0,1430,808940.0
2025-09-09,142A0,サービス業,1024.0,8300,8499200.0,1430,2025-09-10,SL(-5%),972.8,8074240.0,1430,-427820.0
2025-09-09,38030,情報･通信業,1346.0,300,403800.0,220,2025-09-10,TP(+10%),1480.6,444180.0,220,39940.0
2025-09-10,43760,情報･通信業,200.0,42000,8400000.0,1430,2025-09-11,SL(-5%),190.0,7980000.0,1430,-422860.0
2025-09-11,52560,情報･通信業,2230.0,3600,8028000.0,1430,2025-09-18,TP(+10%),2453.0,8830800.0,1430,799940.0
2025-09-08,190A0,医薬品,149.0,4700,700300.0,330,2025-09-22,TP(+10%),163.9,770330.0,330,69370.0
2025-09-12,95560,サービス業,4165.0,2000,8330000.0,1430,2025-09-17,TP(+10%),4581.5,9163000.0,1430,830140.0
2025-09-12,39300,情報･通信業,1067.0,500,533500.0,330,2025-09-16,SL(-5%),1013.6,506800.0,330,-27360.0
2025-09-16,44220,情報･通信業,198.66666666666666,45400,9019466.666666666,1430,2025-09-18,SL(-5%),188.7,8566980.0,1430,-455346.66666666605
2025-09-16,324A0,サービス業,1338.0,1100,1471800.0,605,2025-09-17,SL(-5%),1271.1,1398210.0,605,-74800.0
2025-09-17,77070,精密機器,230.0,38000,8740000.0,1430,2025-09-18,SL(-5%),218.5,8303000.0,1430,-439860.0
2025-09-17,73780,サービス業,1613.0,700,1129100.0,605,2025-09-19,SL(-5%),1532.3,1072610.0,605,-57700.0
2025-09-18,39960,情報･通信業,355.0,23900,8484500.0,1430,2025-09-25,TP(+10%),390.5,9332950.0,1430,845590.0
2025-09-19,37780,情報･通信業,3740.0,2300,8602000.0,1430,2025-09-24,SL(-5%),3553.0,8171900.0,1430,-432960.0
2025-09-19,93450,サービス業,1134.0,600,680400.0,330,2025-09-22,SL(-5%),1077.3,646380.0,330,-34680.0
2025-08-18,67970,電気機器,1205.0,200,241000.0,220,2025-09-30,TP(+10%),1325.5,265100.0,220,23660.0
2025-09-18,52160,ガラス･土石製品,190.0,5200,988000.0,330,2025-09-30,TP(+10%),209.0,1086800.0,605,97865.0
2025-09-22,190A0,医薬品,147.0,59100,8687700.0,1430,2025-09-25,SL(-5%),139.7,8256269.999999999,1430,-434290.00000000093
2025-09-24,25300,その他,17100.0,400,6840000.0,1430,2025-09-29,TP(+10%),18810.0,7524000.0,1430,681140.0
2025-09-24,26290,その他,4241.0,600,2544600.0,605,2025-09-25,TP(+10%),4665.1,2799060.0,605,253250.0
2025-09-24,25530,その他,2603.0,100,260300.0,220,2025-09-25,TP(+10%),2863.3,286330.0,220,25590.0
2025-09-25,45760,医薬品,158.0,57100,9021800.0,1430,2025-09-26,TP(+10%),173.8,9923980.0,1430,899320.0
2025-09-25,48960,医薬品,721.0,2300,1658300.0,605,2025-09-29,TP(+10%),793.1,1824130.0,605,164620.0
2025-09-26,45760,医薬品,146.0,65400,9548400.0,1430,2025-10-08,SL(-5%),138.7,9070980.0,1430,-480280.0
2025-09-26,37530,情報･通信業,203.0,11100,2253300.0,605,2025-10-14,SL(-5%),192.8,2140080.0,605,-114430.0
2025-10-08,338A0,情報･通信業,3980.0,2300,9154000.0,1430,2025-10-09,SL(-5%),3781.0,8696300.0,1430,-460560.0
2025-10-08,48890,医薬品,1892.0,1000,1892000.0,605,2025-10-10,TP(+10%),2081.2,2081199.9999999998,605,187989.99999999977
2025-10-09,60850,サービス業,26.8,340300,9120040.0,1430,2025-10-10,SL(-5%),25.5,8677650.0,1430,-445250.0
2025-10-09,72560,輸送用機器,107.0,16900,1808300.0,605,2025-10-10,SL(-5%),101.6,1717040.0,605,-92470.0
2025-10-10,62550,機械,602.0,14700,8849400.0,1430,2025-10-20,TP(+10%),662.2,9734340.0,1430,882080.0
2025-10-10,47600,サービス業,1884.0,800,1507200.0,605,2025-10-20,SL(-5%),1789.8,1431840.0,605,-76570.0
2025-10-20,70710,サービス業,517.0,3700,1912900.0,605,2025-10-21,TP(+10%),568.7,2104190.0,605,190080.0
2025-10-21,70350,サービス業,248.0,8600,2132800.0,605,2025-10-22,SL(-5%),235.6,2026160.0,605,-107850.0
2025-10-22,288A0,サービス業,168.0,12100,2032800.0,605,2025-10-24,SL(-5%),159.6,1931160.0,605,-102850.0
2025-10-23,45960,医薬品,66.0,29200,1927200.0,605,2025-10-24,SL(-5%),62.7,1830840.0,605,-97570.0
2025-10-24,24590,サービス業,324.0,5600,1814400.0,605,2025-10-27,SL(-5%),307.8,1723680.0,605,-91930.0
2025-10-27,24590,サービス業,324.0,5300,1717200.0,605,2025-10-28,TP(+10%),356.4,1888919.9999999998,605,170509.99999999977
2025-08-21,39610,その他,641.0,11400,7307400.0,1430,2025-11-06,SL(-5%),608.9,6941460.0,1430,-368800.0
2025-10-20,21640,サービス業,116.65585495675317,79300,9250809.298070528,1430,2025-11-06,SL(-5%),110.8,8786440.0,1430,-467229.2980705276
2025-10-28,27640,小売業,115.0,16600,1909000.0,605,2025-11-06,SL(-5%),109.2,1812720.0,605,-97490.0
2025-11-06,39280,情報･通信業,277.0,31600,8753200.0,1430,2025-11-10,TP(+10%),304.7,9628520.0,1430,872460.0
2025-11-06,36980,情報･通信業,1073.0,8100,8691300.0,1430,2025-11-10,TP(+10%),1180.3,9560430.0,1430,866270.0
2025-11-10,31430,卸売業,770.0,12500,9625000.0,1430,2025-11-11,SL(-5%),731.5,9143750.0,1430,-484110.0
2025-11-10,45980,医薬品,476.0,20200,9615200.0,1430,2025-11-17,TP(+10%),523.6,10576720.0,1430,958660.0
2025-11-11,38030,情報･通信業,856.0,11500,9844000.0,1430,2025-11-12,TP(+10%),941.6,10828400.0,1430,981540.0
2025-11-12,38030,情報･通信業,1006.0,10300,10361800.0,1430,2025-11-13,SL(-5%),955.7,9843710.0,1430,-520950.0
2025-11-12,95570,サービス業,299.0,1500,448500.0,220,2025-11-17,SL(-5%),284.1,426150.00000000006,220,-22789.99999999994
2025-11-13,81070,繊維製品,37.0,6400,236800.0,220,2025-11-14,SL(-5%),35.1,224640.0,220,-12600.0
2025-11-11,49330,化学,1472.0,200,294400.0,220,2025-12-01,SL(-5%),1398.4,279680.0,220,-15160.0
2025-11-13,42880,情報･通信業,605.0,16600,10043000.0,1430,2025-11-26,TP(+10%),665.5,11047300.0,1430,1001440.0
2025-11-26,71380,小売業,189.0,55900,10565100.0,1430,2025-11-27,SL(-5%),179.5,10034050.0,1430,-533910.0
2025-11-27,79010,その他製品,913.0,11100,10134300.0,1430,2025-11-28,TP(+10%),1004.3,11147730.0,1430,1010570.0
2025-11-28,79010,その他製品,849.0,400,339600.0,220,2025-12-02,SL(-5%),806.5,322600.0,220,-17440.0
2025-11-28,41790,情報･通信業,294.0,36800,10819200.0,1430,2025-12-11,TP(+10%),323.4,11901120.0,1430,1079060.0
2025-12-09,52520,情報･通信業,555.0,20400,11322000.0,1430,2025-12-10,SL(-5%),527.2,10754880.0,1430,-569980.0
2025-12-09,52160,ガラス･土石製品,197.0,4700,925900.0,330,2025-12-10,SL(-5%),187.1,879370.0,330,-47190.0
2025-12-10,24590,サービス業,286.0,38600,11039600.0,1430,2025-12-12,SL(-5%),271.7,10487620.0,1430,-554840.0
2025-12-10,52440,情報･通信業,227.0,2600,590200.0,330,2025-12-16,SL(-5%),215.6,560560.0,330,-30300.0
2025-12-12,98120,小売業,267.0,40200,10733400.0,1430,2025-12-18,SL(-5%),253.6,10194720.0,1430,-541540.0
2025-12-15,55910,情報･通信業,1262.0,8000,10096000.0,1430,2025-12-18,SL(-5%),1198.9,9591200.0,1430,-507660.0
2025-12-12,82090,その他,295.0,1100,324500.0,220,2025-12-25,SL(-5%),280.2,308220.0,220,-16720.0
