利確%,5日,10日,15日,20日,区分,指標
+6%,59.92210682492581,62.190900098911975,63.38446313706086,64.53269004762788,移動平均-20〜-10乖離,勝率
+8%,58.98862512363996,60.33011869436202,60.62592775853538,60.957506030803486,移動平均-20〜-10乖離,勝率
+10%,58.62388724035609,59.36572700296736,58.98688767936665,58.77404589596091,移動平均-20〜-10乖離,勝率
+12%,58.48788328387735,58.858803165182984,58.15190499752598,57.512216242964065,移動平均-20〜-10乖離,勝率
+15%,58.37042532146389,58.48170128585559,57.45299356754082,56.39265169790314,移動平均-20〜-10乖離,勝率
+20%,58.290059347181014,58.23442136498517,56.97674418604651,55.668955279272595,移動平均-20〜-10乖離,勝率
なし,58.246785361028685,58.024233432245296,56.593270658090056,55.000927815921315,移動平均-20〜-10乖離,勝率
+6%,1.684973977814197,1.628458220205322,1.6792450984168885,1.6471897280403849,移動平均-30〜-20乖離,平均リターン
+8%,2.4839417566429027,2.4748226263451403,2.5547070004942283,2.5099787959391073,移動平均-30〜-20乖離,平均リターン
+10%,3.214346578779396,3.3437807065276304,3.472681643433415,3.4223160985782215,移動平均-30〜-20乖離,平均リターン
+12%,3.7831256120724315,4.039356955139786,4.248185917374181,4.15650405249358,移動平均-30〜-20乖離,平均リターン
+15%,4.4848461683395024,4.988347228698115,5.357613162789794,5.226885120701643,移動平均-30〜-20乖離,平均リターン
+20%,5.129214429303048,6.0191466890337955,6.801525770104916,6.623805361640571,移動平均-30〜-20乖離,平均リターン
なし,5.7846238474545535,7.351391202116647,9.0020320153853,8.85288970758798,移動平均-30〜-20乖離,平均リターン
+6%,66.64308454191723,68.75442321302194,69.7098372257608,70.20523708421797,移動平均-30〜-20乖離,勝率
+8%,65.72338167668907,66.94975230007077,67.40976645435244,67.62208067940551,移動平均-30〜-20乖離,勝率
+10%,65.40502299257163,66.2420382165605,66.52512384996461,66.2420382165605,移動平均-30〜-20乖離,勝率
+12%,65.08666430845419,65.4281670205237,65.60509554140127,64.82661004954,移動平均-30〜-20乖離,勝率
+15%,64.76830562433675,65.00353857041755,64.96815286624204,63.65888181174806,移動平均-30〜-20乖離,勝率
+20%,64.37920056597099,64.50813871196037,64.15428167020524,62.34961075725407,移動平均-30〜-20乖離,勝率
なし,64.37920056597099,64.18966737438076,63.44656758669498,61.111111111111114,移動平均-30〜-20乖離,勝率
+6%,-0.01139997443938252,-0.10208708046407096,-0.12584056422092302,-0.1610175564217739,移動平均-30以下乖離,平均リターン
+8%,0.2348095956016808,0.15648715866150878,0.16052680925596563,0.08614730305779972,移動平均-30以下乖離,平均リターン
+10%,0.4371341685782862,0.3922957155590215,0.413685576734849,0.42729808434243566,移動平均-30以下乖離,平均リターン
+12%,0.6293768164381733,0.6123537665424781,0.6415722673213465,0.6756981780391194,移動平均-30以下乖離,平均リターン
+15%,0.8178954270068215,0.8074340493503837,0.8977196736221148,0.9586608205420624,移動平均-30以下乖離,平均リターン
