as_of,code,company_name,sector33,market,market_cap_oku,turnover_oku,turnover_spike,op_yoy,sales_yoy,pct_from_high,price,max_return,final_return,is_winner
2025-06-26,149A0,シンカ,情報･通信業,グロース,,0.050431,0.4773468258674634,,,-0.15022761760242798,1120.0,0.017857142857142794,-0.18035714285714288,False
2025-06-26,150A0,ＪＳＨ,サービス業,グロース,,0.026125,0.6934140922977288,,,-0.392,456.0,0.03289473684210531,-0.030701754385964897,False
2025-06-26,15140,住石ホールディングス,鉱業,スタンダード,,1.473122,0.6845417006924567,,,-0.5665480427046263,609.0,0.11494252873563227,0.011494252873563315,False
2025-06-26,15150,日鉄鉱業,鉱業,プライム,,2.32245,0.648350362958395,,,-0.04073587385019706,7300.0,0.226027397260274,0.1602739726027398,False
2025-06-26,15180,三井松島ホールディングス,その他製品,プライム,,6.696535,1.1107428374234865,,,-0.1271929824561403,4975.0,0.39296482412060296,0.34271356783919593,False
2025-06-26,151A0,ダイブグループ,サービス業,グロース,,0.366372,1.3966083914217904,,,-0.7566326530612245,954.0,0.0366876310272537,-0.16352201257861632,False
2025-06-26,153A0,カウリス,情報･通信業,グロース,,2.942386,0.30415011310119305,,,-0.20139494333042718,1832.0,0.4093886462882097,0.304585152838428,False
2025-06-26,15400,三菱ＵＦＪ信託銀行株式会社　純金上場信託（現物国内保管型）,その他,その他,,40.2264155,0.8198110782176783,,,-0.022750083640013408,14605.0,0.1995891817870592,0.1995891817870592,False
2025-06-26,15410,三菱ＵＦＪ信託銀行株式会社　純プラチナ上場信託（現物国内保管型）,その他,その他,,7.5976805,1.6219441983967415,,,0.0,5915.0,0.17785291631445488,0.17785291631445488,False
2025-06-26,15420,三菱ＵＦＪ信託銀行株式会社　純銀上場信託（現物国内保管型）,その他,その他,,4.19294375,0.6286776338062401,,,-0.045031055900621064,15375.0,0.2920325203252032,0.28195121951219515,False
2025-06-26,15430,三菱ＵＦＪ信託銀行株式会社　純パラジウム上場信託（現物国内保管型）,その他,その他,,0.8008836,1.6958772092844794,,,-0.1557017543859649,46200.0,0.20714285714285707,0.14761904761904754,False
2025-06-26,15450,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ−１００（為替ヘッジなし）連動型上場投信,その他,その他,,10.374297,1.0636648902795867,,,-0.05936599423631128,32640.0,0.12622549019607843,0.12622549019607843,False
2025-06-26,15460,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,その他,その他,,0.9608438,0.9336317443759742,,,-0.10013272378705207,61020.0,0.09324811537200928,0.09324811537200928,False
2025-06-26,15470,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,その他,その他,,3.86288449,1.3049012717399993,,,-0.07698222008649691,9604.0,0.11932528113286134,0.11932528113286134,False
2025-06-26,15500,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,その他,その他,,0.2297853,0.6891844860346334,,,-0.044320000000000026,5973.0,0.10714883643060436,0.10714883643060436,False
2025-06-26,15510,シンプレクス・アセット・マネジメント株式会社　東証スタンダードＴＯＰ２０ＥＴＦ,その他,その他,,0.0125408,0.21902159827364706,,,0.0,5950.0,0.050420168067226934,0.050420168067226934,False
2025-06-26,15540,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,その他,その他,,0.08103921,0.6323741359437937,,,-0.04245374878286268,4917.0,0.11368720764693929,0.11267032743542815,False
2025-06-26,15550,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ−ＲＥＩＴ）,その他,その他,,0.01032787,0.2574507221698324,,,-0.08984924623115575,2264.0,0.11174911660777376,0.07729681978798597,False
2025-06-26,15570,ステート・ストリート・グローバル・アドバイザーズ・トラスト・カンパニー　Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,その他,その他,,1.4527241,0.5334860051649344,,,-0.0732349841938883,87950.0,0.11768050028425248,0.11768050028425248,False
