購入日,銘柄コード,業種,おすすめ度(%),買値,売値,決済理由,売却日,購入金額(固定),買手数料,売却金額,売手数料,純損益(固定1000万)
2026-02-26,142A0,サービス業,87.5,543.0,515.9,SL(-5%),2026-03-04,10000000.0,1430,9500920.810313076,1430,-501939.1896869242
2026-02-26,31330,小売業,85.8,473.0,449.3,SL(-5%),2026-02-27,10000000.0,1430,9498942.917547569,1430,-503917.0824524313
2026-02-26,23380,情報･通信業,89.8,99.0,94.0,SL(-5%),2026-02-27,10000000.0,1430,9494949.494949495,1430,-507910.5050505046
2026-02-26,95610,サービス業,74.7,431.0,409.4,SL(-5%),2026-03-04,10000000.0,1430,9498839.907192575,1430,-504020.0928074252
2026-02-26,95540,サービス業,70.5,1453.0,1380.3,SL(-5%),2026-03-02,10000000.0,1430,9499655.88437715,1430,-503204.11562285013
2026-02-26,44990,情報･通信業,70.7,2630.0,2498.5,SL(-5%),2026-03-04,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-26,36970,情報･通信業,78.1,691.2,656.6,SL(-5%),2026-03-03,10000000.0,1430,9499421.296296297,1430,-503438.70370370336
2026-02-26,52550,情報･通信業,77.4,133.0,126.3,SL(-5%),2026-03-02,10000000.0,1430,9496240.60150376,1430,-506619.3984962404
2026-02-26,77710,精密機器,79.6,432.0,410.4,SL(-5%),2026-03-02,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-26,77940,その他製品,78.1,1469.0,1395.5,SL(-5%),2026-02-27,10000000.0,1430,9499659.632402996,1430,-503200.3675970044
2026-02-26,94250,情報･通信業,73.2,365.0,346.8,SL(-5%),2026-03-03,10000000.0,1430,9501369.8630137,1430,-501490.13698630035
2026-02-26,73520,サービス業,65.0,624.0,592.8,SL(-5%),2026-03-02,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-26,39000,情報･通信業,66.1,660.0,726.0,TP(+10%),2026-03-02,10000000.0,1430,11000000.0,1430,997140.0
2026-02-16,42650,情報･通信業,72.1,254.0,279.4,TP(+10%),2026-03-06,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2026-02-27,190A0,医薬品,91.7,167.0,158.7,SL(-5%),2026-03-02,10000000.0,1430,9502994.011976046,1430,-499865.9880239535
2026-02-27,51310,情報･通信業,69.4,147.0,139.7,SL(-5%),2026-03-04,10000000.0,1430,9503401.360544218,1430,-499458.63945578225
2026-02-27,40190,情報･通信業,76.2,660.0,627.0,SL(-5%),2026-03-02,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-27,45980,医薬品,77.3,254.0,241.3,SL(-5%),2026-03-02,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-27,38560,電気機器,75.7,619.0,588.0,SL(-5%),2026-03-02,10000000.0,1430,9499192.245557351,1430,-503667.75444264896
2026-02-27,55720,情報･通信業,66.2,2370.0,2251.5,SL(-5%),2026-03-03,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-27,70630,サービス業,83.2,139.0,132.0,SL(-5%),2026-03-02,10000000.0,1430,9496402.877697842,1430,-506457.1223021578
2026-02-27,23380,情報･通信業,73.2,94.0,103.4,TP(+10%),2026-03-02,10000000.0,1430,11000000.0,1430,997140.0
2026-02-27,431A0,情報･通信業,65.1,1834.0,1742.3,SL(-5%),2026-03-03,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-27,51380,情報･通信業,70.0,656.0,623.2,SL(-5%),2026-03-03,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-27,45930,医薬品,68.2,440.0,418.0,SL(-5%),2026-03-03,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-27,24840,情報･通信業,64.6,143.0,135.8,SL(-5%),2026-03-03,10000000.0,1430,9496503.496503498,1430,-506356.5034965016
2026-02-27,67360,電気機器,65.4,7040.0,6688.0,SL(-5%),2026-03-02,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-27,30700,卸売業,79.7,113.0,107.3,SL(-5%),2026-03-03,10000000.0,1430,9495575.221238937,1430,-507284.7787610628
2025-12-19,32370,不動産業,64.4,64.0,60.8,SL(-5%),2026-03-16,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-06,24320,情報･通信業,66.3,2628.0,2496.6,SL(-5%),2026-03-12,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-09,82540,小売業,64.7,379.0,360.1,SL(-5%),2026-03-11,10000000.0,1430,9501319.261213722,1430,-501540.7387862783
2026-02-13,73690,サービス業,70.0,550.0,522.5,SL(-5%),2026-03-16,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-13,64250,機械,72.4,696.0,765.6,TP(+10%),2026-03-11,10000000.0,1430,11000000.0,1430,997140.0
2026-02-24,334A0,情報･通信業,74.1,701.5,771.7,TP(+10%),2026-03-12,10000000.0,1430,11000712.75837491,1430,997852.7583749108
2026-02-24,228A0,情報･通信業,69.8,1410.0,1551.0,TP(+10%),2026-03-17,10000000.0,1430,11000000.0,1430,997140.0
2026-02-26,44430,情報･通信業,67.1,1166.0,1107.7,SL(-5%),2026-03-17,10000000.0,1430,9500000.0,1430,-502860.0
2026-03-02,29010,食料品,78.8,404.0,383.8,SL(-5%),2026-03-11,10000000.0,1430,9500000.0,1430,-502860.0
2026-03-02,20390,その他,69.7,749.0,711.5,SL(-5%),2026-03-11,10000000.0,1430,9499332.443257676,1430,-503527.55674232356
